zone,state,lga,sector,ea,hhid,indiv,s4aq1,s4aq2,s4aq3,s4aq4,s4aq5,s4aq6,s4aq7,s4aq8,s4aq9,s4aq10,s4aq11,s4aq12,s4aq13a,s4aq13b,s4aq13c,s4aq14,s4aq15,s4aq16,s4aq17,s4aq18,s4aq19a,s4aq19b,s4aq19c,s4aq20,s4aq21,s4aq22a,s4aq22b,s4aq22,s4aq23,s4aq23_os,s4aq24,s4aq25,s4aq26,s4aq27a,s4aq27b,s4aq27c,s4aq28,s4aq29,s4aq30__1,s4aq30__2,s4aq30__3,s4aq30__4,s4aq30__5,s4aq30__6,s4aq30__7,s4aq30__8,s4aq30__96,s4aq30_os,s4aq31,s4aq32,s4aq33,s4aq33_os,s4aq34,s4aq35,s4aq36,s4aq36_os,s4aq37,s4aq37_os,s4aq38,s4aq40,s4aq40_code,s4aq41,s4aq41_code,s4aq41c,s4aq41c_os,s4aq42,s4aq43,s4aq44,s4aq45,s4aq46,s4aq47,s4aq47_tunit,s4aq48,s4aq49a,s4aq49b,s4aq50_1,s4aq50_2,s4aq50_3,s4aq50_4,s4aq50_5,s4aq50_6,s4aq51,s4aq52,s4aq52_os,s4aq53,s4aq54,s4aq55,s4aq56,s4aq57__1,s4aq57__2,s4aq57__3,s4aq57__4,s4aq57__5,s4aq57__6,s4aq57__7,s4aq57__8,s4aq57__9,s4aq57__10,s4aq57__96,s4aq57_os,s4aq58__0,s4aq58__1,s4aq58__2,s4aq58__3,s4aq58__4,s4aq58__5,s4aq58__6,s4aq58__7,s4aq58__8,s4aq58__9,s4aq58__10,s4aq58__11,s4aq58__12,s4aq58__13,s4aq58__14,s4aq58__15,s4aq58__16,s4aq58__17,s4aq58__18,s4aq58__19,s4aq58nb,s4aq59,s4aq60,s4aq61a,s4aq61b,s4aq62,s4aq63a,s4aq63b
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,10,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,7,1. YES,0. NO HOUR,6
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,11,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,36,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,15,1. YES,36,2
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,12,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,14,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,16,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,13,1. YES,2. NO,11,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Doing nothing,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,14,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,8,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,15,1. YES,2. NO,11,2. NO,,2. NO,,2. NO,,1. YES,,9,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,10,1. YES,0. NO HOUR,12
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110086,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,6,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,CROP FARMER:  PLANTING AND WEEDING ACTIVITIES,6310. Subsistence crop farmers,CROP FARMER:  PLANTING AND WEEDING ACTIVITIES,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,1. In own business or farming activity,12,3,4,6,850000,8. ONE YEAR (12 MONTHS),2. NO,,,0,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,30,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,4,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,CROP FARMER:  LAND PREPARATION AND SUPERVISION,9211. Crop farm labourers,CROP FARMER:  LAND PREPARATION AND SUPERVISION,161. Support activities for crop production,"AGRICULTURE, FORESTRY & FISHING",,2. In a business or farm operated by a household or family member,12,4,3,6,0,,2. NO,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,5,1. YES,1. YES,,2. NO,,1. YES,48,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RETAIL TRADER: SALES OF PROVISIONS,1420. Retail and wholesale trade managers,RETAIL TRADER: SALES OF PROVISIONS,4721. Retail sale of food in specialized stores,WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,8,9500,5. ONE MONTH,2. NO,,,3,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,6,1. YES,1. YES,,2. NO,,2. NO,,1. YES,7,1. YES,,2,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,APPRENTICE: HAIRDRESSING APPRENTICESHIP,5141. Hairdressers,APPRENTICE: HAIRDRESSING APPRENTICESHIP,9602. Hairdressing and other beauty treatment,OTHER (SPECIFY),OTHER SERVICES,"4. As an apprentice, intern",6,4,6,7,0,,2. NO,,,,,,,,,1. Yes,5. PRIVATE SECTOR (INCLUDING PAID APPRENTICES),,1. YES,2. NO,3. 5-9,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,7,4. EVERY WEEK,2. NO,,,1. YES,1,30
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,7,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,6,2. Both for sale and for household use,4. 3/4 (75 PERCENT),,1. Yes,,,,,,,,2. No,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,CROP FARMER:  PLANTING AND WEEDING ACTIVITIES,6310. Subsistence crop farmers,CROP FARMER:  PLANTING AND WEEDING ACTIVITIES,150. Mixed farming,"AGRICULTURE, FORESTRY & FISHING",,2. In a business or farm operated by a household or family member,12,3,4,6,0,,2. NO,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,30,1. YES,2,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,8,1. YES,2. NO,4,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,9,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2,45,1. YES,1,0. NO MINUTES
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110087,10,1. YES,2. NO,4,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110088,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,5,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,1. YES,14. RETIRED/TOO OLD TO WORK,,2. NO,2. NO,4. RETIRED/TOO OLD TO WORK,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,2
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110088,3,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,1. YES,8. NO JOBS AVAILABLE IN THE AREA,,1. YES,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2,13,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110088,4,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,4,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,3,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,3,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,45,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,8,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,3,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,20,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,9,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,11,1. YES,2. NO,2,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110089,5101,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,8,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,7,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,20,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,5,1. YES,1. YES,,2. NO,,1. YES,48,2. NO,,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,"RETAIL TRADER,  SELLING PHONE ACCESSORIES",1420. Retail and wholesale trade managers,"RETAIL TRADER,  SELLING PHONE ACCESSORIES,UGBALA MARKET","4741. Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,10,30000,5. ONE MONTH,2. NO,,,3,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,6
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,6,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,7,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,25,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,11,1. YES,1. YES,,2. NO,,1. YES,10,2. NO,,2. NO,1. YES,6,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,RETAIL SELLS OF PHONE ACCESSORIES,1420. Retail and wholesale trade managers,RETAIL SELLING OF PHONE ACCESSORIES UGBULA MARKET EBONYI L.G.A EBONYI STATE.,"4741. Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",WHOLESALE & RETAIL TRADE,,1. In own business or farming activity,12,4,6,10,20000,5. ONE MONTH,2. NO,,,6,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,6
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,12,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,6,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,30,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,13,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,7,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,25,1. YES,0. NO HOUR,15
4. South East,11. Ebonyi,1104. EBONYI,2. RURAL,434,110090,14,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,6,3. Only for household use,,,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0. NO HOUR,25,1. YES,0. NO HOUR,7
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110111,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,1. YES,,1. Yes,"5. SICKNESS, ILLNESS, ACCIDENT",,2. NO,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Long-term illness/injury/disability,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110111,2,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,30,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,3,0. NO MINUTES,1. YES,2,0. NO MINUTES
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110112,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,24,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,35,1. YES,0. NO HOUR,30
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110112,5,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,1. YES,,0,0,1,0,1,0,0,0,0,,4. 9 MONTHS-LESS THAN 1 YEAR,,,,1. YES,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1,0. NO MINUTES,1. YES,0. NO HOUR,45
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110112,101,1. YES,2. NO,1,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,1. YES,0. NO HOUR,20
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110112,2101,1. YES,1. YES,,2. NO,,2. NO,,1. YES,36,2. NO,2. NO,,,,,1. Yes,,,,,,,,,"3. WORKED FARM FOR MARKET, ANY WAGE, OR ANY NFE",,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,SHE IS LEARNING  HOW TO SEW.,"7533. Sewing, embroidery and related workers",SHE IS LEARNING  HOW TO SEW.,1313. Finishing of textiles,OTHER (SPECIFY),PERSONAL/OTHER SERVICES,"4. As an apprentice, intern",12,4,6,6,0,,2. NO,,,,,,,,,1. Yes,5. PRIVATE SECTOR (INCLUDING PAID APPRENTICES),,1. YES,2. NO,2. 2-4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4. EVERY WEEK,1. YES,0. NO HOUR,50,1. YES,0. NO HOUR,30
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110113,1,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,25,2. Both for sale and for household use,2. 1/4 (25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2,0. NO MINUTES,2. NO,,
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110113,301,1. YES,1. YES,,2. NO,,2. NO,,2. NO,,1. YES,,25,2. Both for sale and for household use,1. LESS THAN 1/4 (LESS THAN 25 PERCENT),,1. Yes,,,,,,,,1. Yes,2. FAMILY FARM ONLY,,,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,1. YES,8. NO JOBS AVAILABLE IN THE AREA,,1. YES,,,,Farming/livestock/fishing for HH use,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,3,0. NO MINUTES,1. YES,2,0. NO MINUTES
4. South East,11. Ebonyi,1113. ONICHA,2. RURAL,954,110113,302,1. YES,2. NO,5101,2. NO,,2. NO,,2. NO,,2. NO,2. NO,,,,,2. No,2. NO,2. NO,,,,,,,1. NO TYPE OF WORK,2. NO,2. NO,2. No,,,,,,,,,2. NO,2. NO,,,,,,,,,,,,2. NO,,,,,,,Studying or training,,,,,,,,,,,,,,,,,,,,,,,,,2. No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,2. NO,,
