zone,state,lga,sector,ea,hhid,shock_cd,shock_other,s12q0,s12q1,s12q2,s12q3,s12q4a,s12q4b,s12q5_1,s12q5_2,s12q5_3,s12q5_4,s12q5_os,s12q6
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,24. Increase in price of major food items usually consumed by the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,25. Increase in price of oil and fuel,,1,1. YES,5,1. 2023,1. YES,1. YES,16. REDUCED NON-FOOD CONSUMPTION INCLUDING HEALTH AND EDUCATION,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,3,1. 2023,2. NO,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209025,96. Other (specify),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,1. Floods,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,3. Droughts,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,4. Fire,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,16. Loss of land,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,20. Domestic violence,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,24. Increase in price of major food items usually consumed by the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,25. Increase in price of oil and fuel,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209026,96. Other (specify),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,1. Floods,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,3. Droughts,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,4. Fire,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,5. Very high temperatures (&gt;40Â°C),,1,1. YES,1,0. 2022,1. YES,1. YES,1. SALE OF HOUSEHOLD ASSETS/DURABLE GOODS,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,6. Pests and Plant Diseases,,1,1. YES,2,0. 2022,1. YES,1. YES,1. SALE OF HOUSEHOLD ASSETS/DURABLE GOODS,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,7. Death of livestock due to illness,,1,1. YES,1,0. 2022,1. YES,1. YES,1. SALE OF HOUSEHOLD ASSETS/DURABLE GOODS,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,8. Post Harvest Loss,,1,1. YES,1,0. 2022,1. YES,1. YES,1. SALE OF HOUSEHOLD ASSETS/DURABLE GOODS,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,10. Diseases or injury of household member (including all causes),,1,1. YES,2,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,11. Stopped receiving remittances sent to the household,,1,1. YES,2,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,12. Loss of a regular job of a household member,,1,1. YES,1,1. 2023,1. YES,1. YES,5. SOLD HOUSE OR LAND,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,"15. Nonfarm Business closure, failure or bankruptcy",,1,1. YES,1,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,16. Loss of land,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,17. Theft/looting of cash and other property,,1,1. YES,1,0. 2022,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,20. Domestic violence,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,1. YES,3,1. 2023,1. YES,1. YES,5. SOLD HOUSE OR LAND,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,23. Fall in the price of farming/business output,,1,1. YES,1,0. 2022,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,24. Increase in price of major food items usually consumed by the household,,1,1. YES,3,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,25. REDUCED PURCHASE QUANTITY COMPARED TO THE PAST,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,25. Increase in price of oil and fuel,,1,1. YES,3,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,2,1. 2023,1. YES,1. YES,1. SALE OF HOUSEHOLD ASSETS/DURABLE GOODS,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,27. Shortage/scarcity of petrol,,1,1. YES,2,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,1. YES,2,1. 2023,1. YES,1. YES,3. SALE OF CATTLE OR OTHER LARGE-SIZED LIVESTOCK,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209027,96. Other (specify),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,1. Floods,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,3. Droughts,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,4. Fire,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,16. Loss of land,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,20. Domestic violence,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,24. Increase in price of major food items usually consumed by the household,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,25. Increase in price of oil and fuel,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209028,96. Other (specify),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,1. Floods,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,3. Droughts,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,4. Fire,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,16. Loss of land,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,20. Domestic violence,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,24. Increase in price of major food items usually consumed by the household,,1,1. YES,3,1. 2023,1. YES,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,25. Increase in price of oil and fuel,,1,1. YES,2,1. 2023,1. YES,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209029,96. Other (specify),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,1. Floods,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,3. Droughts,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,4. Fire,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,16. Loss of land,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,20. Domestic violence,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,24. Increase in price of major food items usually consumed by the household,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,25. Increase in price of oil and fuel,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209030,96. Other (specify),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,1. Floods,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,3. Droughts,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,4. Fire,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,16. Loss of land,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,20. Domestic violence,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,24. Increase in price of major food items usually consumed by the household,,2,1. YES,2,1. 2023,2. NO,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,25. Increase in price of oil and fuel,,2,1. YES,3,1. 2023,2. NO,1. YES,8. RECEIVED ASSISTANCE FROM FRIENDS & FAMILY,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209031,96. Other (specify),,2,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,1. Floods,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,3. Droughts,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,4. Fire,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. RURAL,946,209033,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
