zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139110,1315-264,6,,,,8. ALL HH MEMBERS DECEASED,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139111,1315-264,6,4123.62548828125,,5314.564737226448,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-28T10:21:13,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139112,1315-264,6,3075.87109375,,3970.2853057215393,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-28T10:46:56,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139113,1315-264,6,3192.999755859375,,3669.6483012157573,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-28T12:51:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139114,1315-264,6,3411.8623046875,,3818.2863218630305,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-28T10:10:18,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139115,1315-264,6,3333.481201171875,,3850.1687698834735,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T08:43:06,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1315. MOBA,1. URBAN,264,139116,1315-264,6,3039.033203125,,3284.9768918829272,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-28T11:14:52,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139119,1316-1236,6,1602.0401611328125,,8752.572402208323,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T15:06:24,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139120,1316-1236,6,1711.851318359375,,8655.406660541423,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-21T17:12:11,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139121,1316-1236,6,1524.789794921875,,10422.041104706224,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T11:14:22,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139123,1316-1236,6,1543.2725830078125,,9937.207348319691,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T14:47:05,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139124,1316-1236,6,1602.0401611328125,,9430.014866487434,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T09:38:13,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139125,1316-1236,6,1524.789794921875,,8079.169610545644,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T15:25:15,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139127,1316-1236,6,,,,8. ALL HH MEMBERS DECEASED,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139128,1316-1236,6,,,,8. ALL HH MEMBERS DECEASED,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139129,1316-1236,6,,,,5. HOUSEHOLD HAS MOVED AWAY,2. New panel household,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
6. South West,13. Ekiti,1316. OYE,1. URBAN,1236,139130,1316-1236,6,2068.9677734375,,10148.070288047009,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-21T12:15:57,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1303. EKITI EAST,1. URBAN,80,139134,1303-80,6,1555.0062255859375,,7052.424441979548,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T16:31:13,2. NO,2. NO,,,,,,3. SHARECROPPED OUT LAND,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1312. IIEJEMEJE,1. URBAN,24,139144,1312-24,6,444.068115234375,,1204.1888121611485,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T11:53:20,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139145,1310-762,6,9391.875,,9519.519923570084,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T11:31:23,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. NO LONGER OWN LAND,,,,2. NO,1. YES,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139146,1310-762,6,9391.875,,9686.17881573453,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-02T11:43:13,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,2. NO,2. NO,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139148,1310-762,6,6993.89501953125,,7602.342452459901,1. COMPLETE,2. New panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-10T13:27:04,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,1. YES,1. YES,1. YES
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139149,1310-762,6,7770.77978515625,,11230.473428895586,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-03T12:39:27,2. NO,2. NO,,,,,,15. INSECURITY,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139150,1310-762,6,7005.5341796875,,8902.903416902842,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T13:37:33,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139151,1310-762,6,7770.77978515625,,12339.076542251183,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T15:05:43,2. NO,2. NO,,,,,,15. INSECURITY,,,,2. NO,2. NO,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139152,1310-762,6,7005.5341796875,,8124.2496244623335,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T11:15:14,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139153,1310-762,6,7143.6875,,7876.729069509747,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-02T11:56:22,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139155,1310-762,6,9391.875,,8753.060574928837,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T17:11:05,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,2. RENTED OUT LAND,3. SHARECROPPED OUT LAND,96. OTHER (SPECIFY),"HEALTH ISSUE, AND OLD AGE",1. YES,1. YES,2. NO
6. South West,13. Ekiti,1310. IKARE,1. URBAN,762,139156,1310-762,6,9391.875,,9881.292507010103,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T16:30:17,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140001,1401-1116,4,7489.77099609375,60112.83984375,15073.264926036878,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-20T12:08:04,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,1. YES
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140003,1401-1116,4,6935.83203125,57035.52734375,9950.971092857631,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T17:11:07,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140004,1401-1116,4,6992.7568359375,47802.921875,15064.926042656927,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T17:14:16,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140006,1401-1116,4,7489.77099609375,46299.7421875,22918.581361150515,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T09:50:06,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140007,1401-1116,4,6992.7568359375,60865.69921875,11677.520268323296,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T13:16:16,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
1. North Central,37. FCT,3706. ABUJA MUNICIPAL,1. URBAN,0,140008,1401-1116,4,,,,6. UNAVAILABLE FOR INTERVIEW,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140009,1401-1116,4,6992.7568359375,47802.921875,18050.58565892162,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T15:17:05,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1401. ANINRI,2. RURAL,1116,140010,1401-1116,4,7530.04296875,60421.05859375,15073.264926036878,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T08:38:03,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140021,1408-1996,4,2591.838623046875,19098.537109375,2522.8181167811777,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T10:30:06,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140022,1408-1996,4,1944.231201171875,11016.501953125,4502.192501790771,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T16:12:07,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140023,1408-1996,4,1930.3380126953125,7995.70849609375,6892.1925640528225,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-25T08:36:05,2. NO,2. NO,,,,,,5. LAND LEFT FALLOW,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,2. NO,1. YES,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140024,1408-1996,4,2019.4876708984375,9318.3271484375,2703.3160075358364,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T15:06:05,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,,,,2. NO,1. YES,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140025,1408-1996,4,1885.476318359375,8818.9990234375,4013.75372152997,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T16:15:51,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140026,1408-1996,4,1870.1275634765625,9105.3193359375,1317.2516046219246,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T13:32:01,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140027,1408-1996,4,1870.1275634765625,7749.8837890625,2846.5767789037213,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-25T08:12:04,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1408. IGBO EZE NORTH,2. RURAL,1996,140030,1408-1996,4,1930.3380126953125,9729.3740234375,6846.586679748884,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T18:16:23,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140062,1406-694,4,5995.1005859375,19155.25,17294.721374496916,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T12:03:36,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,1. YES
4. South East,4. Anambra,406. AWKA SOUTH,2. RURAL,0,140063,1406-694,4,5995.1005859375,22318.724609375,10374.557349382429,1. COMPLETE,1. Old Panel household,2. NO,1. YES,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-10-16T09:01:56,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140065,1406-694,4,5952.2607421875,18871.572265625,13932.722830454568,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T08:49:06,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140066,1406-694,4,5995.1005859375,52520.97265625,6607.2350961435695,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T14:24:12,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140067,1406-694,4,5813.927734375,27533.94921875,10757.109080120174,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T13:34:11,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140068,1406-694,4,7992.01904296875,33756.24609375,7895.519541550665,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:50:03,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140069,1406-694,4,5995.1005859375,19011.24609375,11842.195461725394,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T08:57:52,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1406. EZE AGU,2. RURAL,694,140070,1406-694,4,6187.2841796875,18291.373046875,7088.731845252804,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T08:57:54,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,1. YES
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140072,1413-670,4,2148.62548828125,16548.244140625,3010.5625505031676,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T09:24:05,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,0,140073,1413-670,4,2953.572265625,14688.66796875,3363.75748904157,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T10:15:03,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140074,1413-670,4,2148.62548828125,15336.740234375,3436.9608946680264,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-24T09:31:02,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140075,1413-670,4,2301.34033203125,16009.23046875,3828.130617469868,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T17:33:09,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,0,140076,1413-670,4,2199.748291015625,13349.7939453125,8100.262156829824,1. COMPLETE,1. Old Panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T13:35:22,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140077,1413-670,4,,,,8. ALL HH MEMBERS DECEASED,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140078,1413-670,4,2148.62548828125,23468.669921875,5351.6714163308,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T14:58:15,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140079,1413-670,4,2131.134521484375,14380.478515625,5308.901048556585,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T12:09:50,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1413. NSUKKA,2. RURAL,670,140080,1413-670,4,2148.62548828125,13843.65625,5716.740592101434,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-23T12:33:06,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140082,1410-236,4,5215.06591796875,25119.17578125,6220.712920810829,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-16T14:53:18,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140083,1410-236,4,5181.673828125,19886.4765625,5409.180424081072,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T09:34:35,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140084,1410-236,4,5020.72607421875,29647.818359375,15616.977414785213,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T09:44:54,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140085,1410-236,4,5020.72607421875,18901.986328125,5242.17954329021,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-16T08:14:15,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140086,1410-236,4,5020.72607421875,14411.3837890625,5585.061835219711,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T09:32:56,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140087,1410-236,4,4829.36279296875,14868.509765625,4782.425575441706,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T09:45:57,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140089,1410-236,4,5243.10693359375,18246.08984375,4210.655956712849,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-16T13:39:38,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,2. NO,2. NO,2. NO
4. South East,14. Enugu,1410. ISI UZO,2. RURAL,236,140090,1410-236,4,4868.9990234375,18246.08984375,9225.058658962002,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-15T14:44:47,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1416. UDI,2. RURAL,2314,140121,1416-2314,4,2369.7294921875,15052.9814453125,4161.064434171555,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T10:12:33,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,14. Enugu,1416. UDI,2. RURAL,2314,140122,1416-2314,4,3159.06689453125,13783.279296875,4236.655610204794,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T16:38:00,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
